AreaNorm,PerimNorm,RazonEjes,Excentricidad,Solidez,Extension,CantDedos
116,-118,69,-49,112,113,0
63,-77,70,-50,77,82,0
90,-50,49,-31,88,66,0
108,-69,70,-51,97,70,0
107,-72,82,-63,104,90,0
112,-65,54,-35,103,68,0
100,-65,42,-25,96,88,0
107,-69,58,-39,100,70,0
105,-112,15,-5,104,77,0
110,-70,44,-27,102,85,0
98,-66,57,-39,94,72,0
120,-119,89,-71,111,103,0
95,-57,84,-66,94,61,0
120,-112,46,-28,105,77,0
103,-65,61,-42,96,63,0
82,-46,71,-51,82,59,0
78,-45,62,-43,74,56,0
118,-108,82,-63,103,91,0
123,-118,59,-40,114,92,0
105,-72,65,-45,106,70,0
80,-38,43,-26,62,42,0
116,-113,100,-85,97,82,0
108,-67,66,-46,102,82,0
112,-110,58,-39,105,83,0
107,-71,68,-48,105,71,0
121,-112,41,-24,111,92,0
96,-66,105,-91,90,50,0
117,-113,36,-20,114,96,0
121,-113,61,-42,109,55,0
106,-67,64,-45,100,66,0
93,-56,81,-62,93,58,0
106,-59,116,-108,86,58,0
105,-116,83,-64,106,54,0
85,-47,77,-58,86,68,0
101,-64,50,-32,100,69,0
